Phylum,Class,Order,Family,Genus
,,,,2-02-FULL-62-17
,,,,CAIYPG01
,,,,CAIXPL01
,,,,JADGRQ01
,,,,2-02-FULL-66-14
,,,,RBG-16-66-20
,,,,SCGC-AG-212-J23
,,,,SZAS-79
,,,,CAIKXV01
,,,,JACMKV01
,,,,JAEUMW01
,,,,PALSA-1004
,,,,UBA5216
,,,,Ga0077527
,,,,DSOT01
,,,,SG8-41
,,,,WYBJ01
,,,,Nitrosospira
,,,,GCA-2721545
,,,,VFJL01
,,,,Nitrosomonas
,,,,UBA9220
,,,,Sulfurimicrobium
,,,,Sulfuricella
,,,,RBG-16-58-11
,,,,Sulfuriferula
,,,,Sulfuriferula_A
,,,,Gallionella
,,,,Ferriphaselus
,,,,Nitrotoga
,,,,VIKH01
,,,,CAITJF01
,,,,PALSA-1006
,,,,Sideroxydans
,,,,Ga0077526
,,,,CAIVHB01
,,,,Ferrovum
,,,,PN-J185
,,,,FEB-7
,,,,Usitatibacter
,,,,UKL13-2
,,,,JAEUMZ01
,,,,UBA3065
,,,,QYQG01
,,,,PFJX01
,,,,Sulfuritortus
,,,,Parasulfuritortus
,,,,Thiobacillus
,,,,JACAED01
,,,,UBA6918
,,,,Methylopumilus
,,,,BACL14
,,,,Pseudomethylobacillus
,,,,UBA6140
,,,,Methylobacillus
,,,,Methylopumilus_A
,,,,GCA-2401735
,,,,Methylophilus
,,,,Methylotenera_A
,,,,Methylotenera
,,,,UBA7377
,,,,Kinetoplastibacterium
,,,,2013Ark19i
,,,,UBA729
,,,,UBA7916
,,,,UBA1515
,,,,GCA-002691585
,,,,LLD-282
,,,,JAACFE01
,,,,UBA1847
,,,,JAACFB01
,,,,SZUA-117
,,,,Woeseia
,,,,SP4260
,,,,FEN-1219
,,,,ZC4RG20
,,,,UBA6522
,,,,UBA11654
,,,,RKRP01
,,,,CACJXQ01
,,,,CAJJAM01
,,,,GCA-2730855
,,,,GCA-2707915
,,,,AEGEAN-183
,,,,CACNYO01
,,,,MEDG-81
,,,,AG-339-G14
,,,,TMED112
,,,,CACNXK01
,,,,MED-G78
,,,,SAR86A
,,,,SCGC-AAA076-P13
,,,,D2472
,,,,MED-G82
,,,,Buchnera
,,,,GCA-012562765
,,,,Riesia
,,,,Stammera
,,,,Nardonella
,,,,Blochmannia
,,,,Wigglesworthia
,,,,PIVX01
,,,,CACLCV01
,,,,GCA-2720195
,,,,GCA-2698665
,,,,GCA-2705445
,,,,JABDMI01
,,,,Wohlfahrtiimonas
,,,,Ignatzschineria
,,,,RGIG9182
,,,,Suttonella
,,,,Rappaport
,,,,Cardiobacterium
,,,,GCA-002282575
,,,,Sulfurivirga
,,,,Thiomicrospira
,,,,Thiomicrorhabdus
,,,,Hydrogenovibrio
,,,,Pseudothioglobus
,,,,JAAOIF01
,,,,Thiodubiliella
,,,,Thioglobus
,,,,Vesicomyosocius
,,,,Ruthia
,,,,UBA2013
,,,,Piscirickettsia
,,,,JAHRWD01
,,,,UBA5109
,,,,RFVC01
,,,,CAILUG01
,,,,UBA9145
,,,,UBA5078
,,,,Pseudohongiella
,,,,GCA-002726655
,,,,UBA7455
,,,,UBA9659
,,,,UBA9926
,,,,UBA4582
,,,,GCA-002728675
,,,,RGAU01
,,,,SLTB01
,,,,UBA2965
,,,,SZUA-309
,,,,UBA7803
,,,,UBA2168
,,,,UBA4421
,,,,SYFY01
,,,,UBA11889
,,,,Bin55
,,,,VXYL01
,,,,Microbulbifer
,,,,Teredinibacter
,,,,Agaribacterium
,,,,UBA5868
,,,,Pseudomaricurvus
,,,,Simiduia
,,,,Gilvimarinus
,,,,Cellvibrio
,,,,Marinimicrobium
,,,,Endobugula
,,,,HTCC2207
,,,,TMED48
,,,,AAA300-D14
,,,,Porticoccus
,,,,BRH-c0
,,,,JAGPUQ01
,,,,50-400-T64
,,,,HB2-32-21
,,,,UBA7239
,,,,Umboniibacter
,,,,Litorivivens
,,,,Spongiibacter
,,,,Zhongshania
,,,,Marortus
,,,,Oceanicoccus
,,,,Luminiphilus
,,,,Congregibacter
,,,,Halioglobus
,,,,Parahaliea
,,,,Haliea
,,,,Kineobactrum
,,,,Aequoribacter
,,,,DT-91
,,,,UBA7434
,,,,UBA5518
,,,,Marinobacter_A
,,,,Marinobacter
,,,,Halospina
,,,,LZORAL124-50-18
,,,,Hahella
,,,,Marinomonas
,,,,ASP10-02a
,,,,Motiliproteus
,,,,Nitrincola
,,,,Marinobacterium
,,,,Neptunomonas
,,,,Rs1
,,,,Amphritea
,,,,Neptuniibacter
,,,,Marinobacterium_A
,,,,Saccharospirillum
,,,,Reinekea
,,,,Bermanella
,,,,Oleispira
,,,,Bacterioplanes
,,,,Oleibacter
,,,,UBA2009
,,,,Oceanobacter
,,,,Entomomonas
,,,,Pseudomonas_C
,,,,Thiopseudomonas
,,,,Pseudomonas_K
,,,,Azotobacter
,,,,Pseudomonas_E
,,,,Pseudomonas_B
,,,,Pseudomonas
,,,,Pseudomonas_F
,,,,Pseudomonas_O
,,,,Pseudomonas_M
,,,,Pseudomonas_N
,,,,Pseudomonas_R
,,,,Pseudomonas_Q
,,,,Pseudomonas_A
,,,,Azomonas
,,,,Pseudomonas_H
,,,,Pseudomonas_D
,,,,Zooshikella
,,,,Spartinivicinus
,,,,Kistimonas
,,,,Parendozoicomonas
,,,,Endozoicomonas
,,,,Oceanospirillum
,,,,Cobetia
,,,,Aidingimonas
,,,,Halomonas_E
,,,,Halomonas_A
,,,,Halomonas_B
,,,,Halomonas
,,,,Halomonas_F
,,,,Halomonas_C
,,,,Chromohalobacter
,,,,Salinicola
,,,,Kushneria
,,,,Halotalea
,,,,Marinospirillum
,,,,Litoricola
,,,,HIMB30
,,,,UBA2031
,,,,Paraperlucidibaca
,,,,Perlucidibaca
,,,,Agitococcus
,,,,Alkanindiges
,,,,Acinetobacter
,,,,Aquirhabdus
,,,,Moraxella_A
,,,,Moraxella
,,,,Psychrobacter
,,,,Alcanivorax
,,,,Alcanivorax_A
,,,,PGZG01
,,,,GCA-002402085
,,,,UBA3067
,,,,DC-out160
,,,,42-54-T18
,,,,Ketobacter
,,,,Kangiella
,,,,Pleionea
,,,,Aliikangiella
,,,,GCA-002733465
,,,,Permianibacter
,,,,Psittacicella
,,,,UBA2810
,,,,UBA2804
,,,,Succinimonas
,,,,Ruminobacter
,,,,WG-1
,,,,Succinivibrio
,,,,Avisuccinivibrio
,,,,Anaerobiospirillum
,,,,Succinatimonas
,,,,Gallaecimonas
,,,,Neiella
,,,,RGIG665
,,,,Psychrobium
,,,,Parashewanella
,,,,Shewanella
,,,,UBA2521
,,,,Paraferrimonas
,,,,Ferrimonas
,,,,Pseudidiomarina
,,,,Idiomarina
,,,,Aliidiomarina
,,,,Lacimicrobium
,,,,Bowmanella
,,,,Aliiglaciecola
,,,,Paraglaciecola
,,,,Glaciecola
,,,,Alteromonas_E
,,,,Alteromonas_F
,,,,Alteromonas
,,,,Thalassotalea_A
,,,,Thalassotalea_B
,,,,Thalassotalea_C
,,,,Litorilituus
,,,,Colwellia
,,,,Colwellia_A
,,,,Cognaticolwellia
,,,,GCA-2401725
,,,,Thalassomonas
,,,,JABSOI01
,,,,Thalassotalea
,,,,Pseudoalteromonas
,,,,Alkalimonas
,,,,Pararheinheimera
,,,,Rheinheimera
,,,,Arsukibacterium
,,,,Alishewanella
,,,,Psychrosphaera
,,,,Algibacillus
,,,,Catenovulum
,,,,Aliagarivorans
,,,,Agarivorans
,,,,Moritella
,,,,Psychromonas
,,,,Enterovibrio
,,,,Salinivibrio
,,,,Thaumasiovibrio
,,,,Photobacterium
,,,,Aliivibrio
,,,,Vibrio
,,,,Gallibacterium
,,,,Pasteurella
,,,,Actinobacillus_B
,,,,Avibacterium
,,,,Necropsobacter
,,,,Aggregatibacter
,,,,Haemophilus
,,,,Rodentibacter
,,,,Haemophilus_D
,,,,Basfia
,,,,Basfia_A
,,,,Mesocricetibacter
,,,,Phocoenobacter
,,,,Glaesserella
,,,,Ursidibacter
,,,,Frederiksenia
,,,,Mannheimia
,,,,Actinobacillus_A
,,,,Haemophilus_A
,,,,Actinobacillus
,,,,Spirabiliibacterium
,,,,Chelonobacter
,,,,Gilliamella
,,,,Frischella
,,,,Leminorella
,,,,Limnobaculum
,,,,Budvicia
,,,,Edwardsiella
,,,,Hafnia
,,,,SoEE
,,,,Hamiltonella
,,,,Serratia_B
,,,,Chania
,,,,Serratia_A
,,,,Serratia
,,,,Chimaeribacter
,,,,Rahnella
,,,,Ewingella
,,,,Rouxiella
,,,,Yersinia
,,,,Proteus
,,,,Morganella
,,,,Arsenophonus
,,,,Providencia
,,,,Photorhabdus
,,,,Xenorhabdus
,,,,Acerihabitans
,,,,Sodalis_A
,,,,Baumannia
,,,,Mikella
,,,,Pantoea
,,,,Tatumella
,,,,Rosenbergiella
,,,,Mixta
,,,,Erwinia
,,,,1-19
,,,,Izhakiella
,,,,Jejubacter
,,,,Mangrovibacter
,,,,Shimwellia
,,,,Atlantibacter
,,,,Siccibacter
,,,,Franconibacter
,,,,Cronobacter
,,,,Phytobacter
,,,,Kosakonia
,,,,Pseudescherichia
,,,,Enterobacter_D
,,,,Pseudocitrobacter
,,,,Kluyvera
,,,,Citrobacter
,,,,Escherichia
,,,,Citrobacter_A
,,,,Salmonella
,,,,Superficieibacter
,,,,Leclercia
,,,,UBA7405
,,,,Lelliottia
,,,,Enterobacter
,,,,Scandinavium
,,,,Enterobacter_B
,,,,Trabulsiella
,,,,Klebsiella
,,,,Buttiauxella
,,,,Cedecea
,,,,Lonsdalea
,,,,Dickeya
,,,,Pectobacterium
,,,,Brenneria
,,,,Symbiopectobacterium
,,,,Oceanimonas
,,,,Oceanisphaera
,,,,Aeromonas
,,,,Tolumonas
,,,,Pseudofrancisella
,,,,Allofrancisella
,,,,Francisella
,,,,Cysteiniphilum
,,,,Berkiella
,,,,CADEGZ01
,,,,UBA6186
,,,,JABCZS01
,,,,UBA12402
,,,,UBA4722
,,,,UBA5158
,,,,JABDCN01
,,,,Aquicella_A
,,,,2-12-FULL-37-34
,,,,Aquicella
,,,,Aquirickettsiella
,,,,HIGHO2-12-38-15
,,,,Coxiella
,,,,2-02-FULL-42-43
,,,,UBA9148
,,,,UBA6002
,,,,UBA9339
,,,,UBA2653
,,,,GCA-2786165
,,,,Tatlockia
,,,,Legionella_C
,,,,Legionella
,,,,DDPF01
,,,,Legionella_A
,,,,JAALKW01
,,,,VFKP01
,,,,Thiopontia
,,,,GRL18
,,,,Cycloclasticus
,,,,UBA2780
,,,,OPU3-GD-OMZ
,,,,Methyloprofundus
,,,,QPIN01
,,,,Methylomonas
,,,,Methylomarinum
,,,,Methyloglobulus
,,,,UBA10906
,,,,Methylomicrobium
,,,,Methylobacter
,,,,Methylobacter_A
,,,,UBA4132
,,,,Crenothrix
,,,,KS41
,,,,Methylovulum
,,,,SXIZ01
,,,,Methylicorpusculum
,,,,Methylotuvimicrobium
,,,,Methylogaea
,,,,Methyloumidiphilus
,,,,Methylocaldum
,,,,UBA6136
,,,,Methylococcus
,,,,Methylotetracoccus
,,,,Methylohalobius
,,,,JAADHQ01
,,,,Granulosicoccus
,,,,GCA-001735895
,,,,JACNJF01
,,,,GCA-2746365
,,,,SZUA-229
,,,,SpSt-1174
,,,,Acidihalobacter
,,,,Thioalkalivibrio_B
,,,,Thioalkalivibrio
,,,,Ectothiorhodospira
,,,,Thioalkalivibrio_A
,,,,Thiothrix
,,,,Thiofilum
,,,,Thiolinea
,,,,HyVt-477
,,,,Leucothrix
,,,,Cocleimonas
,,,,JACCYU01
,,,,JABDMD01
,,,,WTFY01
,,,,UBA4575
,,,,Aquisalimonas
,,,,SKGQ01
,,,,SLLM01
,,,,Spiribacter
,,,,Alkalilimnicola
,,,,SKYL01
,,,,Halorhodospira
,,,,Halothiobacillus
,,,,Guyparkeria
,,,,28-57-27
,,,,JAABYT01
,,,,Marithrix
,,,,Thiomargarita
,,,,UBA10656
,,,,Thioploca
,,,,Beggiatoa
,,,,UBA7966
,,,,UBA4457
,,,,Ga0077536
,,,,CAIKBL01
,,,,UBA7359
,,,,UBA11869
,,,,SMWN01
,,,,JAENIZ01
,,,,SZUA-592
,,,,2-02-FULL-56-15
,,,,2-02-FULL-61-13
,,,,WLWS01
,,,,JAAXHV01
,,,,Methylophaga
,,,,41-12-T18
,,,,GCA-002733105
,,,,Nitrosococcus
,,,,Ga0077554
,,,,CAIRSR01
,,,,GCA-2400775
,,,,JADJWH01
,,,,SZUA-140
,,,,SZUA-76
,,,,UBA6921
,,,,DRQN01
,,,,SZUA-152
,,,,DRMK01
,,,,JABURT01
,,,,JAADGZ01
,,,,Sulfurivermis
,,,,JADFYS01
,,,,Thiohalomonas
,,,,SLDE01
,,,,YD12-FULL-61-37
,,,,JADGBD01
,,,,Thiolapillus
,,,,MONJU
,,,,GCF-000787395
,,,,DRKS01
,,,,SLIM01
,,,,Sedimenticola
,,,,Thiodiazotropha
,,,,QGON01
,,,,M0108
,,,,Thiosymbion
,,,,Thiohalocapsa
,,,,Halochromatium
,,,,Thiorhodovibrio
,,,,Lamprocystis
,,,,Thiodictyon
,,,,Thiocapsa
,,,,Marichromatium
,,,,Allochromatium
,,,,Chromatium
,,,,Thiorhodococcus
,,,,Imhoffiella
,,,,QNFN01
,,,,SKOM01
,,,,Plasticicumulans
,,,,RXIV01
,,,,Competibacter
,,,,Contendobacter
,,,,Competibacter_A
,,,,REEB76
,,,,SLPV01
,,,,RPQJ01
,,,,Steroidobacter_A
,,,,JAAYXG01
,,,,CAIUGU01
,,,,SG8-30
,,,,SCUD01
,,,,CAIKMS01
,,,,CAIYVA01
,,,,CAIYLH01
,,,,SZAS-83
,,,,Bog-1198
,,,,UBA964
,,,,CADEFQ01
,,,,CADEED01
,,,,13-2-20CM-66-19
,,,,ZC4RG30
,,,,FEN-1191
,,,,SZUA-146
,,,,PWYM01
,,,,XN24
,,,,QUBU01
,,,,SHZI01
,,,,GCA-002729875
,,,,GCA-2729495
,,,,Macondimonas
,,,,SLRW01
,,,,Thiogranum
,,,,UBA9214
,,,,Thiohalobacter
,,,,JAHJQQ01
,,,,S144-34
,,,,Acidiferrobacter
,,,,Sulfuricaulis
,,,,UBA10349
,,,,Arenicella
,,,,REDSEA-S09-B13
,,,,GCA-2726415
,,,,UBA868
,,,,UBA11791
,,,,WLWV01
,,,,VYGS01
,,,,HyVt-429
,,,,BMS3Bbin11
,,,,Immundisolibacter
,,,,QNFC01
,,,,JADKFD01
,,,,Aquimonas
,,,,GCA-002840015
,,,,Silanimonas
,,,,Arenimonas
,,,,SZAS-103
,,,,Xanthomonas_A
,,,,Stenotrophomonas_A
,,,,Xanthomonas
,,,,Xylella
,,,,Stenotrophomonas
,,,,Xanthomonas_B
,,,,Pseudoxanthomonas
,,,,Pseudoxanthomonas_A
,,,,Lysobacter
,,,,SCMT01
,,,,Thermomonas
,,,,Luteimonas_C
,,,,Luteimonas
,,,,Lysobacter_A
,,,,Luteimonas_B
,,,,Lysobacter_B
,,,,JADKHK01
,,,,Ahniella
,,,,Luteibacter
,,,,Dyella
,,,,Frateuria_A
,,,,Rhodanobacter
,,,,Dyella_B
,,,,Dyella_A
,,,,Oleiagrimonas
,,,,Metallibacterium
,,,,66-474
,,,,Dokdonella_A
,,,,Dokdonella
,,,,Rudaea
,,,,Tahibacter
,,,,Pseudofulvimonas
,,,,SZUA-51
,,,,JABDPF01
,,,,SZUA-36
,,,,W260
,,,,GCA-2722315
,,,,Wenzhouxiangella
,,,,Marinicella
,,,,NORP309
,,,,Stagnimonas
,,,,Hydrocarboniphaga
,,,,Stenotrophobium
,,,,Polycyclovorans
,,,,Solimonas_A
,,,,Solimonas
,,,,Sinimarinibacterium
,,,,Nevskia
,,,,Salifodinibacter
,,,,Salinisphaera
,,,,Acidithiobacillus
,,,,UBA2486
,,,,AB-137-C09
,,,,J005
,,,,GCA-2401635
,,,,Ghiorsea
,,,,Mariprofundus
,,,,UBA1543
,,,,JADGCH01
,,,,HA3dbin3
,,,,Magnetaquicoccus
,,,,HCHbin5
,,,,WMHbin3
,,,,JAANAU01
,,,,UBA8363
,,,,GCA-2753565
,,,,UBA12223
,,,,UBA2136
,,,,UBA6156
,,,,RFNJ01
,,,,Holospora
,,,,51-20
,,,,HGM16780
,,,,CAZU01
,,,,MGBC133411
,,,,CAJLXD01
,,,,Scatocola
,,,,JAFTYO01
,,,,UBA1254
,,,,RUG410
,,,,CAG-267
,,,,CAG-977
,,,,UBA11549
,,,,UBA2903
,,,,UBA3637
,,,,RGIG7089
,,,,UBA7488
,,,,RGIG4140
,,,,CAAHEQ01
,,,,WRCA01
,,,,JAFGMC01
,,,,Enterousia
,,,,WRCC01
,,,,NBLK01
,,,,CACZYB01
,,,,JAEUKQ01
,,,,CAISOG01
,,,,Elstera
,,,,RDXE01
,,,,GCA-2696645
,,,,JABJJH01
,,,,GCA-2717185
,,,,GCA-002724395
,,,,UBA8366
,,,,UBA6544
,,,,CAJQQZ01
,,,,UBA7985
,,,,Kiloniella
,,,,Pelagibius
,,,,WHTV01
,,,,Fodinicurvata
,,,,Algihabitans
,,,,Rhodovibrio
,,,,Oceanibaculum
,,,,TMED26
,,,,Endolissoclinum
,,,,Thalassobaculum_A
,,,,Nisaea
,,,,GCA-002701455
,,,,UBA7326
,,,,Bin65
,,,,SBBV01
,,,,UBA8079
,,,,JABJAG01
,,,,JABDJY01
,,,,UBA6615
,,,,Tistrella
,,,,CAIYRG01
,,,,Rhizomicrobium
,,,,SZUA-430
,,,,JACADY01
,,,,UBA2784
,,,,M2410
,,,,MED-G105
,,,,Marinicaulis
,,,,Amphiplicatus
,,,,CV81
,,,,Parvularcula
,,,,Aquisalinus
,,,,Glycocaulis
,,,,Oceanicaulis
,,,,Marinicauda
,,,,Maricaulis
,,,,Hyphobacterium
,,,,Robiginitomaculum_B
,,,,Robiginitomaculum_A
,,,,Litorimonas
,,,,Hellea
,,,,JACOMS01
,,,,Hirschia
,,,,UBA7672
,,,,Ponticaulis
,,,,UBA5336
,,,,Hyphomonas
,,,,Henriciella
,,,,BOG-935
,,,,CAISGS01
,,,,Caulobacter
,,,,Palsa-881
,,,,Phenylobacterium
,,,,BOG-938
,,,,CAIMFV01
,,,,CAIOYC01
,,,,CAHJWH01
,,,,17J80-11
,,,,Brevundimonas
,,,,Asticcacaulis
,,,,Aquidulcibacter
,,,,UBA1942
,,,,VFBF01
,,,,Terricaulis
,,,,CADEEL01
,,,,Albimonas
,,,,Paroceanicella
,,,,J013
,,,,Vannielia
,,,,KMM-3653
,,,,HLUCCA09
,,,,Tropicimonas
,,,,Rhodovulum
,,,,JADQCB01
,,,,Actibacterium_A
,,,,Actibacterium
,,,,Mangrovicoccus
,,,,Fluviibacterium
,,,,Jannaschia
,,,,Dinoroseobacter
,,,,HKCCE3408
,,,,Roseicyclus
,,,,M30B80
,,,,Rhodophyticola
,,,,Nioella
,,,,Octadecabacter
,,,,Planktomarina
,,,,Sulfitobacter_F
,,,,Litoreibacter
,,,,Celeribacter
,,,,Pacificibacter
,,,,Halocynthiibacter
,,,,Profundibacter
,,,,NORP110
,,,,HIMB11
,,,,MED-G52
,,,,LFER01
,,,,LGRT01
,,,,CABZJG01
,,,,CPC320
,,,,Ascidiaceihabitans
,,,,Tateyamaria
,,,,Roseobacter
,,,,Sulfitobacter
,,,,Aestuariivita
,,,,Pontibaca
,,,,Sedimentitalea
,,,,NORP181
,,,,CAU-1492
,,,,Antarcticimicrobium
,,,,Ruegeria
,,,,Ruegeria_B
,,,,Ruegeria_E
,,,,Pseudophaeobacter
,,,,Leisingera
,,,,Pseudophaeobacter_A
,,,,Epibacterium
,,,,Phaeobacter
,,,,Parasedimentitalea
,,,,Chachezhania
,,,,Marinibacterium
,,,,Planktotalea
,,,,Marivita
,,,,Antarctobacter
,,,,AWRV01
,,,,Sagittula
,,,,Tropicibacter
,,,,Pelagimonas
,,,,Salipiger
,,,,Roseivivax
,,,,Puniceibacterium
,,,,Primorskyibacter
,,,,Marinovum
,,,,Aquicoccus
,,,,Lentibacter
,,,,Roseovarius
,,,,Cognatishimia
,,,,Shimia
,,,,Pseudooceanicola
,,,,Sediminimonas
,,,,Lutimaribacter
,,,,UBA9554
,,,,EhC02
,,,,Thalassobius
,,,,Poseidonocella
,,,,Donghicola
,,,,Maritimibacter
,,,,Muriiphilus
,,,,Aliiroseovarius
,,,,Rhodobacter_B
,,,,Boseongicola
,,,,JABDJO01
,,,,IMCC34051
,,,,Tranquillimonas
,,,,Oceaniglobus
,,,,Palleronia
,,,,Marivivens
,,,,Ketogulonicigenium
,,,,Rubellimicrobium
,,,,JAACUH01
,,,,Limimaricola
,,,,Wenxinia
,,,,Flavimaricola
,,,,Loktanella
,,,,Cognatiyoonia
,,,,Yoonia
,,,,Oceanicola
,,,,Salibaculum
,,,,Rhodosalinus
,,,,Pararhodobacter
,,,,PUOA01
,,,,Roseinatronobacter
,,,,Rhodobaculum
,,,,Acidimangrovimonas
,,,,Solirhodobacter
,,,,Frigidibacter
,,,,QY30
,,,,Albidovulum
,,,,Phaeovulum
,,,,SZUA-611
,,,,Rhodobacter
,,,,Paenirhodobacter
,,,,Thioclava
,,,,Paracoccus
,,,,Haematobacter
,,,,Gemmobacter
,,,,Pseudogemmobacter
,,,,JAAKGP01
,,,,Tabrizicola
,,,,CYK-10
,,,,KMS-5
,,,,UBA1943
,,,,Cypionkella
,,,,ETT8
,,,,Gemmobacter_B
,,,,Cereibacter_A
,,,,Falsirhodobacter
,,,,Pseudorhodobacter
,,,,Rhodobacter_F
,,,,Wagnerdoeblera
,,,,GCA-2697345
,,,,GCA-002712045
,,,,CACKLF01
,,,,CACIIZ01
,,,,CACIJG01
,,,,MPNP01
,,,,Monaibacterium
,,,,Halovulum
,,,,Amylibacter
,,,,UBA5972
,,,,UBA3077
,,,,Amaricoccus
,,,,Rubrimonas
,,,,ZC4RG25
,,,,AWTP1-13
,,,,Ga0077555
,,,,Hyphomicrobium_A
,,,,Hyphomicrobium
,,,,Filomicrobium
,,,,GCA-2689605
,,,,Rhodomicrobium
,,,,Methyloligella
,,,,Methyloceanibacter
,,,,UBA2767
,,,,Tepidamorphus
,,,,Afifella
,,,,Propylenella
,,,,Aurantimonas
,,,,Jiella
,,,,Fulvimarina
,,,,Aureimonas_A
,,,,Aureimonas
,,,,Georhizobium
,,,,Pseudohoeflea
,,,,Hoeflea
,,,,Lentilitoribacter
,,,,Martelella
,,,,Agrobacterium
,,,,Rhizobium_A
,,,,Pseudorhizobium
,,,,Neorhizobium
,,,,Allorhizobium
,,,,Rhizobium
,,,,Shinella
,,,,Mycoplana
,,,,Ensifer
,,,,Sinorhizobium
,,,,Pararhizobium
,,,,Ensifer_A
,,,,FKL33
,,,,SPNT01
,,,,Oricola
,,,,Roseitalea
,,,,Ahrensia
,,,,Nitratireductor
,,,,Chelativorans
,,,,Mesorhizobium_E
,,,,Nitratireductor_D
,,,,Corticibacterium
,,,,Mesorhizobium_A
,,,,Aminobacter
,,,,Mesorhizobium
,,,,Pseudaminobacter
,,,,RCIZ01
,,,,Mesorhizobium_F
,,,,Mesorhizobium_D
,,,,DUSC01
,,,,Aquamicrobium_A
,,,,Aliihoeflea
,,,,RCIO01
,,,,Zhengella
,,,,Notoacmeibacter
,,,,Salaquimonas
,,,,GCA-2401155
,,,,JAALLB01
,,,,R2A130
,,,,Cohaesibacter
,,,,MH13
,,,,GCA-2746425
,,,,Rhodobium
,,,,Breoghania
,,,,Stappia
,,,,Hongsoonwoonella
,,,,Pannonibacter
,,,,Roseibium
,,,,Pseudovibrio
,,,,Kaistia
,,,,Bauldia
,,,,Acuticoccus
,,,,Pseudoxanthobacter
,,,,Mongoliimonas
,,,,Pleomorphomonas
,,,,Prosthecomicrobium_A
,,,,Pinisolibacter
,,,,Methylopila
,,,,Hansschlegelia
,,,,Ga0077545
,,,,Blastochloris
,,,,Ancylobacter_B
,,,,Starkeya
,,,,Ancylobacter
,,,,Angulomicrobium
,,,,Xanthobacter
,,,,Aquabacter
,,,,NCEH01
,,,,Azorhizobium
,,,,Afipia
,,,,62-47
,,,,Nitrobacter
,,,,Bradyrhizobium
,,,,Rhodopseudomonas
,,,,Tardiphaga
,,,,P52-10
,,,,Rhodoplanes
,,,,Z2-YC6860
,,,,Pseudolabrys
,,,,Pseudorhodoplanes
,,,,VAZQ01
,,,,PALSA-894
,,,,AP-16
,,,,BOG-931
,,,,Ga0077548
,,,,Labrys
,,,,Phreatobacter
,,,,28-YEA-48
,,,,Rhodoblastus
,,,,Methylosinus
,,,,Methylocystis
,,,,JAFASC01
,,,,Methylovirgula
,,,,Methyloferula
,,,,Methylocella
,,,,Beijerinckia
,,,,RH-AL1
,,,,REEB77
,,,,Lichenihabitans
,,,,GCA-013693735
,,,,Roseiarcus
,,,,TNE-4
,,,,Alsobacter
,,,,CAIUPE01
,,,,CAIYZJ01
,,,,GAS188
,,,,Bosea
,,,,Camelimonas
,,,,Chelatococcus_A
,,,,Chelatococcus
,,,,Pseudochelatococcus
,,,,Salinarimonas
,,,,Microvirga
,,,,Methylobacterium
,,,,Enterovirga
,,,,Rhabdaerophilum
,,,,DROE01
,,,,Pelagibacterium
,,,,Devosia
,,,,Devosia_A
,,,,Maritalea
,,,,Anderseniella
,,,,JABDJG01
,,,,Nordella
,,,,Aestuariivirga
,,,,Thermopetrobacter
,,,,Rhodoligotrophos
,,,,OCS116
,,,,Pyruvatibacter
,,,,Micropelagos
,,,,UBA7378
,,,,UBA8337
,,,,Parvibaculum
,,,,Tepidicaulis
,,,,Mf105b01
,,,,UBA11222
,,,,Glacieibacterium
,,,,CAHJWT01
,,,,Sandarakinorhabdus
,,,,Polymorphobacter
,,,,Sandaracinobacter
,,,,Sphingomonas_L
,,,,Sphingomonas_B
,,,,Sphingobium_A
,,,,Novosphingopyxis
,,,,Sphingorhabdus_B
,,,,Blastomonas
,,,,Parasphingorhabdus
,,,,Croceicoccus
,,,,Caenibius
,,,,Croceibacterium
,,,,Alteriqipengyuania_A
,,,,Parerythrobacter
,,,,Altererythrobacter_D
,,,,Erythrobacter
,,,,Alteriqipengyuania
,,,,Pontixanthobacter
,,,,Pseudopontixanthobacter_A
,,,,Pseudopontixanthobacter
,,,,Qipengyuania
,,,,Pelagerythrobacter
,,,,Tsuneonella
,,,,Alteraurantiacibacter
,,,,Altericroceibacterium
,,,,Novosphingobium
,,,,Sphingorhabdus_C
,,,,Sphingopyxis
,,,,Rhizorhapis
,,,,Sphingobium
,,,,Sphingomonas
,,,,UBA1936
,,,,UBA6174
,,,,Chakrabartia
,,,,Sphingomonas_E
,,,,Rhizorhabdus
,,,,Sphingomonas_G
,,,,Sphingomonas_I
,,,,Sphingomonas_N
,,,,Zymomonas
,,,,Parasphingopyxis
,,,,Allosphingosinicella
,,,,Sphingomicrobium
,,,,Sphingosinicella
,,,,Pacificimonas
,,,,Paremcibacter
,,,,UBA4441
,,,,Kordiimonas
,,,,Iodidimonas
,,,,Zavarzinia
,,,,Ferrovibrio
,,,,Sneathiella
,,,,Minwuia
,,,,GCA-2731375
,,,,SHVV01
,,,,SHVP01
,,,,CAIVPW01
,,,,JABILA01
,,,,SHWC01
,,,,GCA-2728135
,,,,PTKB01
,,,,SP197
,,,,SLRI01
,,,,HRBIN39
,,,,GCA-2728255
,,,,MarineAlpha9-Bin7
,,,,UBA830
,,,,UBA2964
,,,,WLWZ01
,,,,UBA11136
,,,,SMXQ01
,,,,UBA3470
,,,,TMED8
,,,,UBA1479
,,,,UBA4479
,,,,Casp-alpha2
,,,,JACNJU01
,,,,Magnetovibrio
,,,,REEP01
,,,,SSA4
,,,,2-12-FULL-67-15
,,,,JABGRG01
,,,,GCA-2687515
